security_id,underlying_symbol_raw,effective_from,effective_to,lot_size,source_as_of_date,source_contract_file,source_sha256,evidence_status
SEC_c49320671ad73b05,CUMMINSIND,2024-07-01,2024-10-30,300,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_c5d639d9fd45c353,BEL,2025-10-28,2026-08-12,1425,2025-10-28,NSE_FO_contract_28102025.csv.gz,35279f961edc944bfaee7f67aeb838605ba1901e465a216d724f7106ffbfb4c0,OFFICIAL_DAILY_CONTRACT_FILE
SEC_c5d639d9fd45c353,BEL,2024-07-01,2025-10-27,2850,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_c7b9660271900421,JSWENERGY,2024-11-28,2025-06-25,750,2024-11-28,NSE_FO_contract_28112024.csv.gz,3cd76037fc337fc91858f75850f723f2f95df5a50eb1e33f56d8f0faa097ea1e,OFFICIAL_DAILY_CONTRACT_FILE
SEC_c7b9660271900421,JSWENERGY,2025-04-24,2026-06-29,1000,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_c7b9660271900421,JSWENERGY,2026-04-28,2026-08-12,1075,2026-04-28,NSE_FO_contract_28042026.csv.gz,d8c239b3ad29e90a35b89b83333e4767d16182d92d8bf161a4382260a69fa7f7,OFFICIAL_DAILY_CONTRACT_FILE
SEC_c8429d517f2cbb6f,M&M,2024-10-31,2025-06-25,175,2024-10-31,NSE_FO_contract_31102024.csv.gz,1e900d0dbfd98cec9727a5d260781cf6e10eb8ae62942b405b6d33ae421cf7fe,OFFICIAL_DAILY_CONTRACT_FILE
SEC_c8429d517f2cbb6f,M&M,2025-04-24,2026-08-12,200,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_c8429d517f2cbb6f,M&M,2024-07-01,2024-10-30,350,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_cc9f53821a254c58,CONCOR,2024-07-01,2025-07-02,1000,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_cc9f53821a254c58,CONCOR,2025-07-03,2026-08-12,1250,2025-07-03,NSE_FO_contract_03072025.csv.gz,61f706e75847bc3503672e1e4e4747ec69dc99257662f1e35256153638eb8caa,OFFICIAL_DAILY_CONTRACT_FILE
SEC_ccc8c6105bc7c920,MAZDOCK,2025-05-29,2025-12-29,175,2025-05-29,NSE_FO_contract_29052025.csv.gz,7f2761e73cbd0d9a692638f0135730bd7ec8df8736a346f901062558c35d18fd,OFFICIAL_DAILY_CONTRACT_FILE
SEC_ccc8c6105bc7c920,MAZDOCK,2025-10-28,2026-06-29,200,2025-10-28,NSE_FO_contract_28102025.csv.gz,35279f961edc944bfaee7f67aeb838605ba1901e465a216d724f7106ffbfb4c0,OFFICIAL_DAILY_CONTRACT_FILE
